"id","no_surah","bilangan_ayat","muka_surat","juzuk","nama_english","nama_melayu","nama_arab","maksud_english","maksud_melayu","tempat_diturunkan","created_at","updated_at","deleted_at"
"67","67","30","562","29","Al-Mulk","Al-Mulk","الملك","The Sovereignty","Kerajaan","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"68","68","52","564","29","Al-Qalam","Al-Qalam","القلم","The Pen","Pena / Kalam","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"69","69","52","566","29","Al-Haaqqah","Al-Haqqah","الحاقة","The Reality","Keadaan Sebenar / Hari Kiamat","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"70","70","44","568","29","Al-Ma'aarij","Al-Ma'arij","المعارج","The Ascending Stairways","Tempat-tempat Naik","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"71","71","28","570","29","Nuh","Nuh","نوح","Noah","Nabi Nuh a.s.","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"72","72","28","572","29","Al-Jinn","Al-Jinn","الجن","The Jinn","Jin","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"73","73","20","574","29","Al-Muzzammil","Al-Muzzammil","المزمل","The Enshrouded One","Yang Berselimut","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"74","74","56","575","29","Al-Muddaththir","Al-Muddaththir","المدثر","The Cloaked One","Yang Berselubung","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"75","75","40","577","29","Al-Qiyamah","Al-Qiyamah","القيامة","The Resurrection","Hari Kebangkitan / Kiamat","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"76","76","31","578","29","Al-Insaan","Al-Insan","الانسان","The Man","Manusia","D","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"77","77","50","580","29","Al-Mursalaat","Al-Mursalat","المرسلات","The Emissaries","Malaikat Yang Diutus","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"78","78","40","582","30","An-Naba'","An-Naba'","النبإ","The Tidings","Berita Besar","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"79","79","46","583","30","An-Naazi'aat","An-Nazi'at","النازعات","Those who drag forth","Malaikat Yang Mencabut","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"80","80","42","585","30","'Abasa","'Abasa","عبس","He Frowned","Dia Bermasam Muka","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"81","81","29","586","30","At-Takwiir","At-Takwir","التكوير","The Overthrowing","Menggulung","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
